Compounds,PE_element_1,PE_element_2,PE_element_3,Convalent_Radius_element_1,Convalent_Radius_element_2,Convalent_Radius_element_3,FIE_element_1,FIE_element_2,FIE_element_3,Row_element_1,Row_element_2,Row_element_3,DirectBand_Gap,Indirect_Band_Gap
KMoO3,0.82,2.16,3.44,196,145,73,418.8,684.3,1313.9,4,5,2,0.07,0.07
CsSrI3,0.79,0.95,2.66,225,192,133,375.7,549.5,1008.4,6,5,5,4.84,4.74
AgMgF3,1.93,1.31,3.98,153,130,71,731,737.7,1681,5,3,2,4.83,4.16
LaWN3,1.1,2.36,3.04,169,146,75,538.1,770,1402.3,6,6,2,2.09,0.97
RbCaBr3,0.82,1,2.96,211,174,114,403,589.8,1139.9,5,4,4,6.06,5.76
TlCoF3,1.62,1.88,3.98,148,126,71,589.4,760.4,1681,6,4,2,4.7,4.27
KHfO3,0.82,1.3,3.44,196,150,73,418.8,658.5,1313.9,4,6,2,0.05,0.05
RbCdCl3,0.82,1.69,3.16,211,148,99,403,867.8,1251.2,5,5,3,3.74,3.12
BaMoO3,0.89,2.16,3.44,198,145,73,502.9,684.3,1313.9,6,5,2,0.18,0
KCrCl3,0.82,1.66,3.16,196,127,99,418.8,652.9,1251.2,4,4,3,0.87,0.15
KGeBr3,0.82,2.01,2.96,196,122,114,418.8,762,1139.9,4,4,4,1.47,1.47
LaNiO3,1.1,1.91,3.44,169,121,73,538.1,737.1,1313.9,6,4,2,0.03,0.03
TlAgBr3,1.62,1.93,2.96,148,153,114,589.4,731,1139.9,6,5,4,0.43,0.43
InCaBr3,1.78,1,2.96,144,174,114,558.3,589.8,1139.9,5,4,4,4.47,4.32
LaCuO3,1.1,1.9,3.44,169,138,73,538.1,745.5,1313.9,6,4,2,1.18,0.14
TlCaF3,1.62,1,3.93,148,174,71,589.4,589.8,1681,6,4,2,6.25,6.21
SrSnO3,0.95,1.96,3.44,192,141,73,549.5,708.6,1313.9,5,5,2,3.6,2.78
SrHfO3,0.95,1.3,3.44,192,150,73,549.5,658.5,1313.9,5,6,2,5.67,5.26
LaFeO3,1.1,1.83,3.44,169,71,73,538.1,1681,1313.9,6,4,2,0.02,0.02
CsPbI3,0.79,1.87,2.66,225,147,133,375.7,715.6,1008.4,6,6,5,2.04,2.04
BaZrS3,0.89,1.33,2.58,198,148,102,502.9,640.1,999.6,6,5,3,1.81,1.29
SrRuO3,0.95,2.2,3.44,192,126,73,549.5,710.2,1313.9,5,5,2,0.34,0
LaCoO3,1.1,1.88,3.44,169,126,73,538.1,760.4,1313.9,6,4,2,0.43,0.11
NaOsO3,0.93,2.2,3.44,154,128,73,495.8,840,1313.9,3,6,2,0.04,0.04
AgZnF3,1.93,1.65,3.98,153,131,71,731,906.4,1681,5,4,2,4.45,3.86
RbSnI3,0.82,1.96,2.66,211,141,133,403,708.6,1008.4,5,5,5,0.82,0.82
RbPbBr3,0.82,1.87,2.96,211,147,114,403,715.6,1139.9,5,6,4,2.4,2.4
RbPbCl3,0.82,1.87,3.16,211,147,99,403,715.6,1251.2,5,6,3,2.92,2.92
KCdCl3,0.82,1.69,3.16,196,148,99,418.8,867.8,1251.2,4,5,3,3.82,3.31
TlNiF3,1.62,1.91,3.98,148,121,71,589.4,737.1,1681,6,4,2,4.41,4.19
RbSrCl3,0.82,0.95,3.16,211,192,99,403,549.5,1251.2,5,5,3,6.13,5.91
AgTaO3,1.93,1.5,3.44,153,138,73,731,761,1313.9,5,6,2,3.61,3.38
BiNiO3,2.02,1.91,3.44,146,121,73,703,737.1,1313.9,6,4,2,0.83,0.02
TlSnF3,1.62,1.96,3.98,148,141,71,589.4,708.6,1681,6,5,2,3.96,3.45
TlGeBr3,1.62,2.01,2.96,148,122,114,589.4,762,1139.9,6,4,4,1.28,1.28
RbSeBr3,0.82,2.55,2.96,211,116,114,403,941,1139.9,5,4,4,0.08,0.01
TlCaCl3,1.62,1,3.16,148,174,99,589.4,589.8,1251.2,6,4,3,5.46,5.12
SrTcO3,0.95,1.9,3.44,192,156,73,549.5,702,1313.9,5,5,2,2.52,1.82
RbCaI3,0.82,1,2.66,211,174,133,403,589.8,1008.4,5,4,5,4.71,4.4
SrZrO3,0.95,1.33,3.44,192,148,73,549.5,640.1,1313.9,5,5,2,5.27,4.86
AgNiF3,1.93,1.91,3.98,153,121,71,731,737.1,1681,5,4,2,4.36,3.33
TlCdCl3,1.62,1.69,3.16,148,148,99,589.4,867.8,1251.2,6,5,3,3.99,3.38
RbSnF3,0.82,1.96,3.98,211,141,71,403,708.6,1681,5,5,2,3.58,3.57
LaCrO3,1.1,1.66,3.44,169,127,73,538.1,652.9,1313.9,6,4,2,3.71,2.95
LaMnO3,1.1,1.55,3.44,169,139,73,538.1,717.3,1313.9,6,4,2,2.26,0.32
KCaBr3,0.82,1,2.96,196,174,114,418.8,589.8,1139.9,4,4,4,5.36,5.11
CaTiO3,1,1.54,3.44,174,136,73,589.8,658.8,1313.9,4,4,2,4.03,3.44
LaVO3,1.1,1.63,3.44,169,125,73,538.1,650.9,1313.9,6,4,2,2.29,0.26
RbAuI3,0.82,2.54,2.66,211,144,133,403,890.1,1008.4,5,6,5,0.01,0.01
CsAuI3,0.79,2.54,2.66,225,144,133,375.7,890.1,1008.4,6,6,5,0.01,0.01
TlInCl3,1.62,1.78,3.16,148,144,99,589.4,558.3,1251.2,6,5,3,0.32,0.32
RbPbI3,0.82,1.87,2.66,211,144,133,403,715.6,1008.4,5,6,5,2.01,2.01
LaTiO3,1.1,1.54,3.44,169,136,73,538.1,658.8,1313.9,6,4,2,0.1,0.03
CsAuBr3,0.79,2.54,2.96,225,144,114,375.7,890.1,1139.9,6,6,4,0.28,0.28
CsAuCl3,0.79,2.54,3.16,225,144,99,375.7,890.1,1251.2,6,6,3,0.25,0.25
BaZrSe3,0.89,1.33,2.55,198,148,116,502.9,640.1,941,6,5,4,1.44,1.01
CaTcO3,1,1.9,3.44,174,156,73,589.8,702,1313.9,4,5,2,2.71,2.09
LaGaO3,1.1,1.81,3.44,169,126,73,538.1,578.8,1313.9,6,4,2,5.08,4.77
KCoF3,0.82,1.88,3.98,196,126,71,418.8,760.4,1681,4,4,2,4.71,4.02
RbCoF3,0.82,1.88,3.98,211,126,71,403,760.4,1681,5,4,2,4.6,4.03
YNiO3,1.22,1.91,3.44,162,121,73,600,737.1,1313.9,5,4,2,0.02,0.02
TlNiO3,1.62,1.91,3.44,148,121,73,589.4,737.1,1313.9,6,4,2,0,0
YReN3,1.22,1.9,3.04,162,159,75,600,760,1402.3,5,6,2,0.12,0.12
SrCoO3,0.95,1.88,3.44,192,126,73,549.5,760.4,1313.9,5,4,2,0.88,0.28
