Compounds,PE_element_1,PE_element_2,PE_element_3,Convalent_Radius_element_1,Convalent_Radius_element_2,Convalent_Radius_element_3,FIE_element_1,FIE_element_2,FIE_element_3,Row_element_1,Row_element_2,Row_element_3,DirectBand_Gap,Indirect_Band_Gap,Specific Heat Capacity J/(kg K)
PbTiO3,1.87,1.54,3.44,131,136,73,715.6,658.8,1313.9,6,4,2,3.95,3.15,3404.0
BaNbO3,0.89,1.6,3.44,198,137,73,502.9,652.1,1313.9,6,5,2,0.31,0.09,3227.0
TlZnF3,1.62,1.65,3.98,148,131,71,589.4,906.4,1618.0,6,4,2,5.8,5.52,3020.0
CsSnCl3,0.79,1.96,3.16,225,141,99,375.7,708.6,1251.2,6,5,3,1.57,1.57,1893.6
BaTiO3,0.89,1.54,3.44,198,136,73,502.9,658.8,1313.9,6,4,2,4.12,3.58,3482.0
KTaO3,0.82,1.5,3.44,196,138,73,418.8,761.0,1313.9,4,6,2,4.1,3.39,3654.0
CsGeI3,0.79,2.01,2.66,225,122,133,375.7,762.0,1008.4,6,4,5,1.48,1.48,1850.4
NaNbO3,0.93,1.6,3.44,154,137,73,495.8,652.1,1313.9,3,5,2,4.55,3.5,4252.0
KMgF3,0.82,1.31,3.98,196,130,71,418.8,737.7,1681.0,4,3,2,9.58,9.28,4249.0
SrFeO3,0.95,1.83,3.44,192,125,73,549.5,762.5,1313.9,5,4,2,1.2,0.04,3506.0
KCdF3,0.82,1.69,3.98,196,148,71,418.8,867.8,1681.0,4,5,2,6.69,5.28,3459.0
TlMgF3,1.62,1.31,3.98,148,130,71,589.4,737.7,1681.0,6,3,2,5.47,5.38,3652.0
RbZnF3,0.82,1.65,3.98,211,131,71,403.0,906.4,1681.0,5,4,2,7.16,6.24,3224.0
RbCaF3,0.82,1.0,3.98,211,174,71,403.0,589.8,1681.0,5,4,2,9.11,9.01,3467.0
RbCdF3,0.82,1.69,3.98,211,148,71,403.0,867.8,1681.0,5,5,2,6.61,5.36,3066.0
RbCaCl3,0.82,1.0,3.16,211,174,99,403.0,589.8,1251.2,5,4,3,7.31,7.04,2429.6
RbMnF3,0.82,1.55,3.98,211,139,71,403.0,717.3,1681.0,5,4,2,6.49,4.34,3315.0
CsNaF3,0.79,0.93,3.98,225,154,71,375.0,495.8,1681.0,6,3,2,0.26,-0.01,3944.0
CsInBr3,0.79,1.78,2.96,225,144,114,375.7,558.3,1139.9,6,5,4,0.49,0.49,3316.8999999999996
TlCdF3,1.62,1.69,3.98,148,148,71,589.4,867.8,1681.0,6,5,2,5.91,5.76,2862.0
RbNiF3,0.82,1.91,3.98,211,121,71,403.0,737.1,1681.0,5,4,2,5.56,5.3,3281.0
CsTlF3,0.79,1.62,3.98,225,148,71,375.7,589.4,1681.0,6,6,2,0.35,0.35,2874.0
CsCaF3,0.79,1.0,3.98,225,174,71,375.7,589.8,1681.0,6,4,2,9.97,9.97,3345.0
SrVO3,0.95,1.63,3.44,192,125,73,549.5,650.9,1313.9,5,4,2,0.04,0.04,3546.0
CsPbF3,0.79,1.87,3.98,225,147,71,375.7,715.6,1681.0,6,6,2,4.79,4.79,2841.0
CsSnBr3,0.79,1.96,2.96,225,141,114,375.7,708.6,1139.9,6,5,4,1.11,1.11,3300.8999999999996
CsCdF3,0.79,1.69,3.98,225,148,71,375.7,867.8,1681.0,6,5,2,6.37,5.49,2944.0
KZnF3,0.82,1.65,3.98,196,131,71,418.8,906.4,1681.0,4,4,2,7.51,6.08,3617.0
KTcO3,0.82,1.9,3.44,196,156,73,418.8,702.0,1313.9,4,5,2,0.13,0.03,3577.0
RbVF3,0.82,1.63,3.98,211,125,71,403.0,650.9,1681.0,5,4,2,4.36,3.6,3325.0
TlIO3,1.63,2.66,3.44,148,133,73,589.4,1008.4,1313.9,6,5,2,4.26,4.26,3346.0
CsCaCl3,0.79,1.0,3.16,225,174,99,375.7,589.8,1251.2,6,4,3,7.3,7.08,2307.6
CsGeBr3,0.79,2.01,2.96,225,122,114,375.7,762.0,1139.9,6,4,4,1.97,1.97,3405.2999999999997
RbMgF3,0.82,1.31,3.98,211,130,71,403.0,737.7,1681.0,5,3,2,9.55,9.45,3856.0
CsIO3,0.79,2.66,3.44,225,133,73,375.7,1008.4,1313.9,6,5,2,4.18,4.18,3428.0
BaHfO3,0.89,1.3,3.44,198,150,73,502.9,658.5,1313.9,6,6,2,5.32,5.16,3106.0
CaFeO3,1.0,3.98,3.44,174,125,73,589.8,762.5,1313.9,4,4,2,1.41,0.0,3837.0
BaZrO3,0.89,1.33,3.44,198,148,73,502.9,640.1,1313.9,6,5,2,4.92,4.71,3240.0
CsInF3,0.79,1.78,3.98,225,144,71,375.7,558.3,1681.0,6,5,2,0.36,0.36,2947.0
CsGeCl3,0.79,2.01,3.16,225,122,99,375.7,762.0,1251.2,6,4,3,2.84,2.84,1998.0
CsCdCl3,0.79,1.69,3.16,225,148,99,375.7,867.8,1251.2,6,5,3,3.55,3.06,1906.6
CsAgCl3,0.79,1.93,3.16,225,153,99,375.7,731.0,1251.2,6,5,3,0.37,0.37,1911.6
BaSnO3,0.89,1.96,3.44,198,141,73,502.9,708.6,1313.9,6,5,2,2.34,1.97,3179.0
KCuCl3,0.82,1.9,3.16,196,138,99,418.8,745.5,1251.2,4,4,3,0.04,0.04,2576.0
KNbO3,0.82,1.6,3.44,196,137,73,418.8,652.1,1313.9,4,5,2,4.44,3.52,3779.0
